id,name,class,role,rank,notes,wishlist_1,wishlist_2,wishlist_3,wishlist_4,wishlist_5,wishlist_6,wishlist_7,wishlist_8,wishlist_9,wishlist_10,wishlist_11,wishlist_12,wishlist_13,wishlist_14
34,Madfamous,Mage,DPS,Core Raider,,Sharpened Silithid Femur,Eye of C'Thun,Eyestalk Waist Cord,Dark Storm Gauntlets,Ritssyn's Ring of Chaos,Qiraji Bindings of Dominance,Bracers of Arcane Accuracy,Royal Scepter of Vek'lor,Cloak of the Devoured,,,,,
35,Marneus,Paladin,Healer,Member,,,,,,,,,,,,,,,
36,Matsfan,Druid,Healer,Core Raider,,Regenerating Belt of Vek'nilash,Grasp of the Old God,Idol of Health,Ring of the Martyr,,,,,,,,,,
37,Mcgroot,Warlock,DPS,Member,,,,,,,,,,,,,,,
38,Minaomi,Warrior,DPS,Core Raider,,Drake Fang Talisman,Cloak of Draconic Might,"Maladath, Runed Blade of the Black Flight",Circle of Applied Force,,,,,,,,,,
39,Miniwheats,Priest,Healer,Core Raider,,Pure Elementium Band,Grasp of the Old God,Don Rigoberto's Lost Hat,Boots of Pure Thought,Robes of the Guardian Saint,,,,,,,,,
40,Mistajonez,Paladin,Healer,Member,,,,,,,,,,,,,,,
2,Morbidmind,Warlock,DPS,GM,,Qiraji Bindings of Dominance,Imperial Qiraji Regalia,Dark Storm Gauntlets,Eyestalk Waist Cord,,,,,,,,,,
41,Narzil,Rogue,DPS,Inactive,,,,,,,,,,,,,,,
1,Nesingtick,Hunter,DPS,Officer,,Belt of Never-ending Agony,Carapace of the Old God,Vek'lor's Gloves of Devastation,Vek'lor's Diadem,Jom Gabbar,Ring of the Godslayer,Badge of the Swarmguard,Eye of C'Thun,Silithid Claw,,,,,
42,Nightmagic,Priest,Healer,Core Raider,,Ring of the Martyr,Scepter of the False Prophet,Gloves of the Messiah,Pure Elementium Band,Eye of C'Thun,Empowered Leggings,Grasp of the Old God,Boots of Pure Thought,,,,,,
43,Nugget,Rogue,DPS,Member,,,,,,,,,,,,,,,
44,Paleblood,Warlock,DPS,Inactive,,,,,,,,,,,,,,,
45,Pantherk,Mage,DPS,Core Raider,Doesnt care about order,Mantle of the Blackwing Cabal,"Mish'undare, Circlet of the Mind Flayer",Bracers of Arcane Accuracy,Eyestalk Waist Cord,Cloak of the Devoured,Carapace of the Old God,,,,,,,,
46,Pewpewlasers,Mage,DPS,Member,,Mantle of the Blackwing Cabal,"Mish'undare, Circlet of the Mind Flayer",Neltharion's Tear,,,,,,,,,,,
47,Prunejuice,Warlock,DPS,Officer,,Imperial Qiraji Regalia,Amulet of Vek'nilash,Dark Storm Gauntlets,Eyestalk Waist Cord,,,,,,,,,,
48,Rijndael,Paladin,Healer,Officer,,Scepter of the False Prophet,Boots of Pure Thought,Red Dragonscale Protector,Lok'amir il Romathis,Pure Elementium Band,Bracelets of Royal Redemption,Ring of the Martyr,Eye of C'Thun,Grasp of the Old God,Robes of the Guardian Saint,,,,
49,Rubberducky,Paladin,Healer,Member,,,,,,,,,,,,,,,
50,Scrubzilla,Priest,Healer,Core Raider,,Rejuvenating Gem,Scepter of the False Prophet,Pure Elementium Band,Sartura's Might,Ring of the Martyr,Grasp of the Old God,Robes of the Guardian Saint,Don Rigoberto's Lost Hat,Bracelets of Royal Redemption,Ouro's Intact Hide,,,,
51,Shuaa,Hunter,DPS,Core Raider,,Eye of C'Thun,Badge of the Swarmguard,Imperial Qiraji Armaments,Imperial Qiraji Armaments,Larvae of the Great Worm,Drake Fang Talisman,,,,,,,,
52,Skuzz,Warrior,Tank,Core Raider,,Drake Fang Talisman,"Crul'shorukh, Edge of Chaos",Boots of the Fallen Hero,Ouro's Intact Hide,Cloak of Concentrated Hatred,,,,,,,,,
53,Snapdragon,Druid,Healer,Member,,,,,,,,,,,,,,,
54,Southbay,Warlock,DPS,Inactive,,,,,,,,,,,,,,,
55,Stalfos,Hunter,DPS,Inactive,,,,,,,,,,,,,,,
56,Steb,Warrior,DPS,Core Raider,,Ancient Qiraji Ripper,Chromatic Boots,Breastplate of Annihilation,Ouro's Intact Hide,Spineshatter,Gauntlets of Annihilation,Drake Talon Pauldrons,Cloak of Draconic Might,,,,,,
57,Stebert,Warlock,DPS,Inactive,,,,,,,,,,,,,,,
58,Subu,Warrior,DPS,Member,,Chromatically Tempered Sword,Ancient Qiraji Ripper,Chromatic Boots,Breastplate of Annihilation,Ouro's Intact Hide,Spineshatter,Drake Talon Pauldrons,Cloak of Draconic Might,Gauntlets of Annihilation,,,,,
59,Tgun,Paladin,Healer,Veteran,,,,,,,,,,,,,,,
60,Thethumb,Mage,DPS,Inactive,,,,,,,,,,,,,,,
61,Toons,Rogue,DPS,Core Raider,Needs Thunderfury,Drake Fang Talisman,Prestor's Talisman of Connivery,Cloak of Firemaw,Ring of the Qiraji Fury,Jom Gabbar,Larvae of the Great Worm,Ancient Qiraji Ripper,,,,,,,
62,Trickypotato,Rogue,DPS,Core Raider,,Drake Fang Talisman,Prestor's Talisman of Connivery,Heartstriker,Death's Sting,Imperial Qiraji Armaments,Belt of Never-ending Agony,Ring of the Qiraji Fury,Larvae of the Great Worm,Qiraji Execution Bracers,,,,,
63,Twinkes,Rogue,DPS,Core Raider,,Death's Sting,Imperial Qiraji Armaments,Belt of Never-ending Agony,Cloak of Concentrated Hatred,Ring of the Qiraji Fury,Jom Gabbar,Qiraji Execution Bracers,Barbed Choker,Qiraji Execution Bracers,Vek'lor's Diadem,Carapace of the Old God,Ouro's Intact Hide,Vek'lor's Diadem,Qiraji Bindings of Command
64,Unflushable,Priest,Healer,Veteran,,,,,,,,,,,,,,,
65,Valadrim,Mage,DPS,Core Raider,,Ritssyn's Ring of Chaos,Eye of C'Thun,Amulet of Vek'nilash,Neltharion's Tear,Bracers of Arcane Accuracy,"Mish'undare, Circlet of the Mind Flayer",Eyestalk Waist Cord,,,,,,,
66,Varvatos,Warrior,DPS,Inactive,,,,,,,,,,,,,,,
67,Warlox,Warlock,DPS,Core Raider,,Sharpened Silithid Femur,Royal Scepter of Vek'lor,Eye of C'Thun,Dark Storm Gauntlets,Eyestalk Waist Cord,Amulet of Vek'nilash,,,,,,,,
68,Zzoro,Rogue,DPS,Veteran,,,,,,,,,,,,,,,
69,Uhdballs,Rogue,DPS,Inactive,,,,,,,,,,,,,,,
70,Dunkz,Warrior,DPS,Inactive,,,,,,,,,,,,,,,
71,Crestfall,Mage,DPS,Inactive,,,,,,,,,,,,,,,
72,Niezihks,Warrior,DPS,Inactive,,,,,,,,,,,,,,,
73,Ditto,Paladin,Healer,Inactive,,,,,,,,,,,,,,,
74,Davesnothere,Hunter,DPS,Inactive,,,,,,,,,,,,,,,
